"Trait","Mean","SD"
"1","Sociability",3.035,0.386898740565933
"2","Assertiveness",3.0525,0.24780389943512
"3","Energy Level",3.2925,0.474766709125277
"4","Compassion",3.43333333333333,0.5881115024835
"5","Respectfulness",3.23083333333333,0.425276977094195
"6","Trust",3.0225,0.166466574426633
"7","Organization",3.16833333333333,0.342131654658388
"8","Productiveness",3.28416666666667,0.471910979030283
"9","Responsibility",3.12833333333333,0.360852607356997
"10","Anxiety",3.0375,0.291407752575098
"11","Depression",2.9275,0.314693804571128
"12","Emotional Volatility",2.97916666666667,0.227184981034356
"13","Intellectual Curiosity",3.19916666666667,0.330512380506058
"14","Aesthetic Sensitivity",3.2925,0.446167721211996
"15","Creative Imagination",3.455,0.489069487098411
