"normal_human","old_people","persona_GPT3.5","shape_GPT3.5","persona_GPT4","shape_GPT4","persona_LLaMA3","shape_LLaMA3"
"1",1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1
"5",1,1,1,1,1,1,1,1
"6",0.277478850773757,0.498188623233471,0.26014133307837,0.498286545534222,0.521492704462991,0.516302221146544,0.098716131137443,0.538665771743142
"7",0.555065930442904,0.696756667749882,0.477045164045814,0.100096992974459,0.451818034577091,0.529595061634836,0.25547401827865,0.310006550380245
"8",-0.611010162613915,-0.726030694646519,-0.739806535033388,-0.784098808561381,-0.47799112871115,-0.819608383116606,-0.586372260858038,-0.719491367665791
"9",0.345564256033175,0.226781426373285,0.387053644336467,0.665369531337224,0.595346057419743,0.70197686810228,0.510050796838905,0.709922852557443
"10",0.466725652815225,0.553748895827528,0.694368352156838,0.572896416977512,0.757284932618368,0.761921379053023,0.768385403506627,0.645298690204151
"11",-0.426753621498935,-0.427290406142453,-0.550953589475628,-0.631503202494009,-0.546256125390091,-0.68390178708465,-0.535030257869634,-0.729830711145518
"12",0.270234051150807,0.362266036185986,0.38338837063339,0.495439143101355,0.428811011884817,0.549150725853024,0.252242102150061,0.891232549197983
"13",-0.608938544581244,-0.576509219887153,-0.652411797588619,-0.4062192672994,-0.465144684505056,-0.653591650414189,-0.625186413922323,-0.820207271845239
"14",0.167082889488535,0.165529700206223,0.257317212458854,-0.0348544931557265,0.277517692243309,0.387641631329379,0.155566119516051,0.445274703941859
"15",-0.165715962530821,-0.283902801823089,-0.36755755901149,-0.379754620767622,-0.279005039741154,-0.526640110486283,-0.232549378550451,-0.651453357430556
