"honest","persona_GPT3.5","shape_GPT3.5","shape_GPT4","persona_LLaMA3","shape_LLaMA3"
"1",0.51903741070035,0.573061299455254,0.65157530859973,0.752117207288457,0.762940050240453,0.927769427097709
"2",0.576575808020959,0.343366439216689,0.52250574137308,0.693235458375434,0.594603218665336,0.831698464689398
"3",0.62606690344188,0.35555234575187,0.856026295785088,0.857430084353142,0.781403059010232,0.907757581232035
"4",0.51979054907449,0.525323140759111,0.77436550080162,0.849756684324622,0.859706333427772,0.951348085605728
"5",0.582014018912384,0.319911558562876,0.988341286925798,0.954960805293047,0.325981147308256,0.870512393424322
"6",0.801963265898169,0.347846287047109,0.666359385398592,0.845817575406381,0.307711030742689,0.931802275060522
"7",0.381127666039981,0.904527518936204,-0.0323212230152618,0.189789651878037,0.685766402797632,0.289647568760973
"8",0.464008945318427,0.420145203426495,-0.199858819468638,0.154939060763716,1.0209897049111,0.465247834540127
"9",0.770875779272783,0.677659688918939,0.888249398619311,0.890836041137923,0.867706365616319,0.948343338423153
"10",0.580973597531982,0.592943773615798,0.898036848795637,0.880905120927506,0.723385402379267,0.839646282814295
"11",0.543815762741942,0.527645780810113,0.802737069981742,0.790107492137903,0.676540895841514,0.677232531857332
"12",0.831986835438429,0.519054620948393,0.77778677014189,0.964185470529187,0.83572381109758,0.864310129934985
"13",0.657936207057438,0.69907516779502,0.933975069718368,0.912263917747,0.813890692517029,0.851418319681598
"14",0.649948381140216,0.580229565181215,0.779705058138709,0.961522449404734,0.802562608942465,0.844404803018721
"15",0.650078975386041,0.585602286505784,0.829699060657821,0.861135726170237,0.823478683424273,0.900176503954698
"16",0.716967690621368,0.528633856826044,0.725128991672734,0.852046871599744,0.833745018910559,0.869811030058724
"17",0.651287759635702,0.683728123320956,0.898306536600922,0.888180269471374,0.805022776158704,0.889177482625418
"18",0.707536768330013,0.612468401350506,0.598510008725232,0.877467780837887,0.766669382588111,0.641841109966771
"19",0.50581031319855,0.587229342865237,0.641564338537271,0.881215663387042,0.803424830732396,0.757206007334613
"20",0.590060196616559,0.713917999811852,0.644431463220261,0.453982067757014,0.792474756409068,0.837029882870657
"21",0.713720375349551,0.351228027538151,0.909869460453457,0.930796674779478,0.895345240644142,0.920180303268165
"22",0.496833526776419,0.4888007506911,0.905844875931941,0.875872667640547,0.616914638408656,0.916395104831202
"23",0.664087165105463,0.670502519612861,0.836506702631986,0.91899553959457,0.551126797037765,0.750715834215283
"24",0.589723203428695,0.577534299165119,0.861249915138614,0.873946243628313,0.458790137523607,0.85109946566124
